t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
38,R1,192,0,0,279,117,180,EOD,117,117,1.89,0.0,0.0,0.0,1.89
38,R2,25,0,0,348,108,92,EOD,108,108,1.89,0.0,0.0,0.0,1.89
38,R3,63,0,0,1088,206,203,EOD,206,206,1.89,0.0,0.0,0.0,1.89
39,Supplier,0,0,0,0,0,0,EOD,0,0,3.51,0.0,0.0,0.0,3.51
39,W1,195,0,0,1316,225,208,EOD,0,0,3.51,0.0,0.0,0.0,3.51
39,W2,144,0,0,1499,206,242,EOD,0,0,3.51,0.0,0.0,0.0,3.51
39,R1,235,0,0,217,136,179,EOD,136,136,3.51,0.0,0.0,0.0,3.51
39,R2,79,0,0,318,84,138,EOD,84,84,3.51,0.0,0.0,0.0,3.51
39,R3,117,0,0,1044,196,250,EOD,196,196,3.51,0.0,0.0,0.0,3.51
40,Supplier,0,0,0,0,0,0,EOD,0,0,5.7299999999999995,0.0,0.0,0.0,5.7299999999999995
40,W1,226,0,0,1290,220,251,EOD,0,0,5.7299999999999995,0.0,0.0,0.0,5.7299999999999995
40,W2,156,0,0,1497,196,208,EOD,0,0,5.7299999999999995,0.0,0.0,0.0,5.7299999999999995
40,R1,212,0,0,253,123,100,EOD,123,123,5.7299999999999995,0.0,0.0,0.0,5.7299999999999995
40,R2,113,0,0,277,91,125,EOD,91,91,5.7299999999999995,0.0,0.0,0.0,5.7299999999999995
40,R3,191,0,0,940,226,300,EOD,226,226,5.7299999999999995,0.0,0.0,0.0,5.7299999999999995
41,Supplier,0,0,0,0,0,0,EOD,0,0,8.1,0.0,0.0,0.0,8.1
41,W1,270,0,0,1252,214,258,EOD,0,0,8.1,0.0,0.0,0.0,8.1
41,W2,133,0,0,1490,226,203,EOD,0,0,8.1,0.0,0.0,0.0,8.1
41,R1,178,0,0,259,151,117,EOD,151,151,8.1,0.0,0.0,0.0,8.1
41,R2,116,0,0,283,82,85,EOD,82,82,8.1,0.0,0.0,0.0,8.1
41,R3,270,0,0,853,234,313,EOD,234,234,8.1,0.0,0.0,0.0,8.1
42,Supplier,0,0,0,0,0,0,EOD,0,0,4.5,0.0,0.0,0.0,4.5
42,W1,355,0,0,1148,233,318,EOD,0,0,4.5,0.0,0.0,0.0,4.5
42,W2,149,0,0,1466,234,250,EOD,0,0,4.5,0.0,0.0,0.0,4.5
42,R1,134,0,0,274,180,136,EOD,180,180,4.5,0.0,0.0,0.0,4.5
42,R2,124,0,0,257,100,108,EOD,100,100,4.5,0.0,0.0,0.0,4.5
42,R3,150,0,0,862,345,225,EOD,345,345,4.5,0.0,0.0,0.0,4.5
43,Supplier,0,0,0,0,0,0,EOD,0,0,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998
43,W1,379,0,0,1077,280,304,EOD,0,0,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998
43,W2,104,0,0,1400,345,300,EOD,0,0,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998
